"Unique bus livery";"System image";"Yes";"2015";"http://www.worldbrt.net/en/cities/hangzhou.aspx"
"Citywide annual road fatalities";"System road safety";"";"";""
"Citywide annual injuries";"System road safety";"";"";""
"";"";"";"";""
"Corridor Indicators - Line 1";"";"";"";""
"Indicator";"Category";"Value";"Date";"Source"
"Corridor Name";"Corridor info";"Line 1";"";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Corridor classification";"Corridor info";"BRT";"2014";"ITDP"
"BRT Standard";"Corridor info";"BRT";"2014";"ITDP Preliminary assessment"
"Year corridor commenced";"Corridor info";"2006";"";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Corridor service";"Corridor info";"";"";""
"Peak load, corridor (passengers per hour per direction)";"Corridor info";"";"";""
"Daily demand, corridor (passengers per day)";"Corridor info";"";"";""
"Trunk lines, corridor";"Corridor info";"2";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Corridor length (km)";"Running ways";"27,10";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Length of segregated lanes, corridor (km)";"Running ways";"7,00";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Length of segregated counterflow lanes, corridor (km)";"Running ways";"0,00";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Length of exclusive lanes, corridor (km)";"Running ways";"0,00";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Mixed traffic with-flow length, corridor (km)";"Running ways";"20,10";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Position of with-flow lanes, corridor";"Running ways";"Curbside";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Position of counterflow lanes, corridor";"Running ways";"";"";""
"Position of bus doors, corridor";"Running ways";"Right";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Lane material on running ways, corridor";"Running ways";"Asphalt";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Lane material at stations, corridor";"Running ways";"Asphalt";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Grade-separated intersections, corridor";"Traffic engineering";"";"";""
"Fixed signal priority";"Traffic engineering";"";"";""
"Dynamic signal priority";"Traffic engineering";"";"";""
"Stations, corridor";"Stations";"18";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Station spacing, corridor (m)";"Stations";"1500,0";"2013";"Calculated using corridor length and stations"
"Enhanced stations";"Stations";"Yes";"2015";"http://www.worldbrt.net/en/cities/hangzhou.aspx"
"Pre-board fare collection, corridor";"Stations";"";"";""
"Overtaking lanes, corridor";"Stations";"";"";""
"Station boarding level, corridor";"Stations";"";"";""
"Type of bus guidance";"ITS";"";"";""
"Peak frequency, corridor (buses per hour per direction)";"Travel time";"";"";""
"Operating speed, corridor";"Travel time";"";"";""
"Express services";"Travel time";"";"";""
"Speed limit (km/h)";"Travel time";"";"";""
"Real time information, corridor";"Comfort";"";"";""
"Physically integrated feeders";"Comfort";"";"";""
"Total cost per kilometer, corridor (US$ million per km)";"Cost";"";"";""
"Planning cost, corridor (US$ million)";"Cost";"";"";""
"Infrastructure cost per kilometer, corridor (US$ million per km)";"Cost";"";"";""
"User rating, corridor";"Quality of service";"";"";""
"Corridor annual fatalities";"Road Safety";"";"";""
"";"";"";"";""
"Corridor Indicators - Line 2";"";"";"";""
"Indicator";"Category";"Value";"Date";"Source"
"Corridor Name";"Corridor info";"Line 2";"";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Corridor classification";"Corridor info";"Not BRT";"2014";"ITDP"
"BRT Standard";"Corridor info";"Not BRT";"2014";"ITDP Preliminary assessment"
"Year corridor commenced";"Corridor info";"2008";"";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Corridor service";"Corridor info";"";"";""
"Peak load, corridor (passengers per hour per direction)";"Corridor info";"";"";""
"Daily demand, corridor (passengers per day)";"Corridor info";"";"";""
"Trunk lines, corridor";"Corridor info";"0";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Corridor length (km)";"Running ways";"19,00";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Length of segregated lanes, corridor (km)";"Running ways";"11,80";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Length of segregated counterflow lanes, corridor (km)";"Running ways";"0,00";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Length of exclusive lanes, corridor (km)";"Running ways";"0,00";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Mixed traffic with-flow length, corridor (km)";"Running ways";"7,20";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Position of with-flow lanes, corridor";"Running ways";"Curbside";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Position of counterflow lanes, corridor";"Running ways";"";"";""
"Position of bus doors, corridor";"Running ways";"Right";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Lane material on running ways, corridor";"Running ways";"Asphalt";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Lane material at stations, corridor";"Running ways";"Asphalt";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Grade-separated intersections, corridor";"Traffic engineering";"";"";""
"Fixed signal priority";"Traffic engineering";"";"";""
"Dynamic signal priority";"Traffic engineering";"";"";""
"Stations, corridor";"Stations";"23";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Station spacing, corridor (m)";"Stations";"780,0";"2013";"Calculated using corridor length and stations"
"Enhanced stations";"Stations";"Yes";"2015";"http://www.worldbrt.net/en/cities/hangzhou.aspx"
"Pre-board fare collection, corridor";"Stations";"";"";""
"Overtaking lanes, corridor";"Stations";"";"";""
"Station boarding level, corridor";"Stations";"";"";""
"Type of bus guidance";"ITS";"";"";""
"Peak frequency, corridor (buses per hour per direction)";"Travel time";"";"";""
"Operating speed, corridor";"Travel time";"";"";""
"Express services";"Travel time";"";"";""
"Speed limit (km/h)";"Travel time";"";"";""
"Real time information, corridor";"Comfort";"";"";""
"Physically integrated feeders";"Comfort";"";"";""
"Total cost per kilometer, corridor (US$ million per km)";"Cost";"";"";""
"Planning cost, corridor (US$ million)";"Cost";"";"";""
"Infrastructure cost per kilometer, corridor (US$ million per km)";"Cost";"";"";""
"User rating, corridor";"Quality of service";"";"";""
"Corridor annual fatalities";"Road Safety";"";"";""
"";"";"";"";""
"Corridor Indicators - Line 3";"";"";"";""
"Indicator";"Category";"Value";"Date";"Source"
"Corridor Name";"Corridor info";"Line 3";"";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Corridor classification";"Corridor info";"Not BRT";"2014";"ITDP"
"BRT Standard";"Corridor info";"Not BRT";"2014";"ITDP Preliminary assessment"
"Year corridor commenced";"Corridor info";"2010";"";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Corridor service";"Corridor info";"";"";""
"Peak load, corridor (passengers per hour per direction)";"Corridor info";"";"";""
